FunctionID,Function,Algorithm,FE,MeanBestError,StdBestError
1,F1,ARPSO-EIS,5000,7485206763.134882,2214721277.733887
1,F1,ARPSO-EIS,10000,6445718229.270802,1782871899.7104332
1,F1,ARPSO-EIS,15000,5557274349.035238,1385795195.6849773
1,F1,ARPSO-EIS,20000,4779558156.41875,1245243615.7917762
1,F1,ARPSO-EIS,25000,4200444972.946452,1053076737.1923987
1,F1,ARPSO-EIS,30000,3661546839.124883,903937659.1200848
1,F1,ARPSO-EIS,35000,3301155685.3747487,873407328.341819
1,F1,ARPSO-EIS,40000,2810806725.1515536,763030500.3303826
1,F1,ARPSO-EIS,45000,2524675046.3048825,761166235.3139908
1,F1,ARPSO-EIS,50000,2181683592.5914383,655967164.1544546
1,F1,ARPSO-EIS,55000,1864081874.6379423,623338079.5324541
1,F1,ARPSO-EIS,60000,1638126696.7836168,597487165.3453971
1,F1,ARPSO-EIS,65000,1433515621.477474,545294593.8598652
1,F1,ARPSO-EIS,70000,1282704523.4910736,543884687.7447636
1,F1,ARPSO-EIS,75000,1102918637.6143045,452372401.5338522
1,F1,ARPSO-EIS,80000,936574998.0402181,444778459.98049957
1,F1,ARPSO-EIS,85000,774262702.5871873,404753550.30086064
1,F1,ARPSO-EIS,90000,635347963.7025759,396494583.0664193
1,F1,ARPSO-EIS,95000,519060136.6540801,405706936.5584568
1,F1,ARPSO-EIS,100000,388690261.85497415,276312625.8777391
1,F1,ARPSO-EIS,105000,315772746.57770365,269230738.8238439
1,F1,ARPSO-EIS,110000,245015377.68837655,228964174.66510445
1,F1,ARPSO-EIS,115000,191700494.79125676,162368633.18519062
1,F1,ARPSO-EIS,120000,156397924.81327,153975084.56746542
1,F1,ARPSO-EIS,125000,128841525.10685407,148093699.51496893
1,F1,ARPSO-EIS,130000,111067320.06655507,147125893.80016434
1,F1,ARPSO-EIS,135000,89148788.19974062,135894056.2575165
1,F1,ARPSO-EIS,140000,78465651.03651907,135374524.71586835
1,F1,ARPSO-EIS,145000,68705821.04400685,134693839.5373504
1,F1,ARPSO-EIS,150000,61754138.39131725,134446066.8805379
1,F1,ARPSO-EIS,155000,38589246.743074454,74572873.74751705
1,F1,ARPSO-EIS,160000,31156980.636451602,72772159.39741233
1,F1,ARPSO-EIS,165000,27860791.4598245,73333962.48631804
1,F1,ARPSO-EIS,170000,26476957.622876838,73431480.60418542
1,F1,ARPSO-EIS,175000,25504199.49525477,73516801.98801468
1,F1,ARPSO-EIS,180000,25011416.273704402,73650991.65292674
1,F1,ARPSO-EIS,185000,24718932.326201398,73733955.48718835
1,F1,ARPSO-EIS,190000,24546440.497845635,73720261.96778567
1,F1,ARPSO-EIS,195000,24415765.909936983,73756000.75663705
1,F1,ARPSO-EIS,200000,24353714.95943829,73761342.09057039
1,F1,ARPSO-EIS,205000,24325860.597282685,73764650.09950823
1,F1,ARPSO-EIS,210000,24308642.078159474,73761419.54785652
1,F1,ARPSO-EIS,215000,24296636.07200909,73762439.45720224
1,F1,ARPSO-EIS,220000,24290052.283615816,73763962.71089002
1,F1,ARPSO-EIS,225000,24286261.24793119,73763266.75454019
1,F1,ARPSO-EIS,230000,24283886.181299165,73762290.32655354
1,F1,ARPSO-EIS,235000,24282993.64662106,73762373.34066659
1,F1,ARPSO-EIS,240000,24282553.8753027,73762338.31440778
1,F1,ARPSO-EIS,245000,24282103.30415956,73762350.64681551
1,F1,ARPSO-EIS,250000,24281973.198717132,73762369.46466294
1,F1,ARPSO-EIS,255000,16673352.589092918,61259220.56862032
1,F1,ARPSO-EIS,260000,8527067.790025959,44101252.604890935
1,F1,ARPSO-EIS,265000,387386.2070879042,1422910.793750523
1,F1,ARPSO-EIS,270000,109780.59082295504,271986.50905441004
1,F1,ARPSO-EIS,275000,81429.44103010236,254752.03036828045
1,F1,ARPSO-EIS,280000,77981.26655365004,255301.1061354743
1,F1,ARPSO-EIS,285000,76789.39731542351,255590.5584509862
1,F1,ARPSO-EIS,290000,76579.96747943525,255648.39043358702
1,F1,ARPSO-EIS,295000,76515.82493554661,255666.6142427745
1,F1,ARPSO-EIS,300000,84506.4518935471,268781.0931514491
1,F1,ARPSO-Fixed,5000,7648909900.122359,2412203592.934465
1,F1,ARPSO-Fixed,10000,6095407015.196745,2181086111.379561
1,F1,ARPSO-Fixed,15000,5418011890.823399,2051637122.1089194
1,F1,ARPSO-Fixed,20000,4940794086.840387,1897571045.7151513
1,F1,ARPSO-Fixed,25000,4093686384.954084,867526262.4923706
1,F1,ARPSO-Fixed,30000,3671376603.6730413,752013068.6279641
1,F1,ARPSO-Fixed,35000,3218025232.7443805,649324437.9204235
1,F1,ARPSO-Fixed,40000,2838763480.3618774,753088552.0939133
1,F1,ARPSO-Fixed,45000,2590398601.4473248,707953372.1019305
1,F1,ARPSO-Fixed,50000,2327623319.578458,696739507.586694
1,F1,ARPSO-Fixed,55000,2079877513.9852207,677649032.3120679
1,F1,ARPSO-Fixed,60000,1822724911.094133,626271224.945909
1,F1,ARPSO-Fixed,65000,1617155156.668751,609546998.5069801
1,F1,ARPSO-Fixed,70000,1400357360.5748284,496950374.7314202
1,F1,ARPSO-Fixed,75000,1222695539.824239,514789525.256397
1,F1,ARPSO-Fixed,80000,1037487832.891578,454771230.2592457
1,F1,ARPSO-Fixed,85000,860432246.753868,413320704.14644384
1,F1,ARPSO-Fixed,90000,731790132.8840941,409123575.87823886
1,F1,ARPSO-Fixed,95000,560358895.8272955,396008206.2782491
1,F1,ARPSO-Fixed,100000,481158612.71516156,403018800.83793133
1,F1,ARPSO-Fixed,105000,377350996.9116497,391469321.0504804
1,F1,ARPSO-Fixed,110000,294765919.8698332,357814018.7543089
1,F1,ARPSO-Fixed,115000,219731567.2240033,305848713.6224773
1,F1,ARPSO-Fixed,120000,146759011.94307753,146872899.4606599
1,F1,ARPSO-Fixed,125000,104586678.70811017,107044848.31753151
1,F1,ARPSO-Fixed,130000,82959010.3095748,98543729.68435256
1,F1,ARPSO-Fixed,135000,62986602.90235185,86826088.66519663
1,F1,ARPSO-Fixed,140000,52526267.300712146,84923698.32219318
1,F1,ARPSO-Fixed,145000,43694215.97650143,83184093.1608132
1,F1,ARPSO-Fixed,150000,33835654.44367913,74629261.1151992
1,F1,ARPSO-Fixed,155000,29246164.696409225,73655790.75068088
1,F1,ARPSO-Fixed,160000,20451756.664274532,61454322.646976486
1,F1,ARPSO-Fixed,165000,18491442.11165859,61172160.88533602
1,F1,ARPSO-Fixed,170000,17170238.29954778,61307752.82321574
1,F1,ARPSO-Fixed,175000,16765368.85122723,61338917.71969329
1,F1,ARPSO-Fixed,180000,16554840.01939581,61362749.14766798
1,F1,ARPSO-Fixed,185000,16365492.880573357,61364563.38817363
1,F1,ARPSO-Fixed,190000,16252535.992922049,61352123.24263298
1,F1,ARPSO-Fixed,195000,16199162.602811104,61356848.274348035
1,F1,ARPSO-Fixed,200000,16170744.570442695,61353575.88454023
1,F1,ARPSO-Fixed,205000,16149751.020207312,61355174.55655681
1,F1,ARPSO-Fixed,210000,16139846.855582725,61355283.50597916
1,F1,ARPSO-Fixed,215000,16135927.078970026,61356095.4277106
1,F1,ARPSO-Fixed,220000,16133853.529268479,61356420.405025624
1,F1,ARPSO-Fixed,225000,9963432.479291378,45003892.70125094
1,F1,ARPSO-Fixed,230000,8215295.452199096,44133260.7050363
1,F1,ARPSO-Fixed,235000,8083220.843533208,44151172.26676465
1,F1,ARPSO-Fixed,240000,8073673.649832825,44152921.03077158
1,F1,ARPSO-Fixed,245000,8071100.984407662,44153397.228875555
1,F1,ARPSO-Fixed,250000,8070692.760281003,44153471.74853504
1,F1,ARPSO-Fixed,255000,79491.22570861709,384553.2584518023
1,F1,ARPSO-Fixed,260000,16622.00133934105,41096.72465278479
1,F1,ARPSO-Fixed,265000,9682.89771182297,8600.280294625742
1,F1,ARPSO-Fixed,270000,9183.910618429867,8300.07453950135
1,F1,ARPSO-Fixed,275000,9142.423989267267,8314.934619669426
1,F1,ARPSO-Fixed,280000,9137.165902547305,8317.237965301389
1,F1,ARPSO-Fixed,285000,9136.338700566319,8317.595364029447
1,F1,ARPSO-Fixed,290000,9136.201041987213,8317.621327106215
1,F1,ARPSO-Fixed,295000,9136.1558140656,8317.620382195279
1,F1,ARPSO-Fixed,300000,9136.101345983638,8317.60308975232
1,F1,ARPSO-Global,5000,7583045339.591748,1732301290.1644244
1,F1,ARPSO-Global,10000,6534711865.886151,1521629498.6729825
1,F1,ARPSO-Global,15000,5822597818.204153,1363226729.668457
1,F1,ARPSO-Global,20000,5213491918.588507,1211738641.334442
1,F1,ARPSO-Global,25000,5015282786.14736,1230999312.1549375
1,F1,ARPSO-Global,30000,4583156460.623779,1280287978.5327742
1,F1,ARPSO-Global,35000,4170748141.21837,1312243878.9850442
1,F1,ARPSO-Global,40000,3709579617.6257596,1005642948.1079725
1,F1,ARPSO-Global,45000,3372594489.6912317,913041045.0406318
1,F1,ARPSO-Global,50000,2999555373.087226,904352601.9209434
1,F1,ARPSO-Global,55000,2686654261.4361606,958150449.3028529
1,F1,ARPSO-Global,60000,2418817492.6674833,973052998.1324183
1,F1,ARPSO-Global,65000,2229002101.128597,997555310.7996402
1,F1,ARPSO-Global,70000,2030215684.7673821,998606960.9240681
1,F1,ARPSO-Global,75000,1856568448.3302062,1032500301.2089871
1,F1,ARPSO-Global,80000,1680805583.1421175,994194219.9058036
1,F1,ARPSO-Global,85000,1484970540.5256166,881789952.8030889
1,F1,ARPSO-Global,90000,1306653507.4144266,847987382.7504872
1,F1,ARPSO-Global,95000,1202868127.0066226,861776726.6105819
1,F1,ARPSO-Global,100000,1034223311.7434404,690405834.7557793
1,F1,ARPSO-Global,105000,843010562.4956673,642082671.6186856
1,F1,ARPSO-Global,110000,734350286.8063325,656323622.6569117
1,F1,ARPSO-Global,115000,643809487.506152,658151781.380403
1,F1,ARPSO-Global,120000,590914184.0243074,628742882.3480413
1,F1,ARPSO-Global,125000,482287226.2060581,554258286.858804
1,F1,ARPSO-Global,130000,437924897.76559633,541532276.1904124
1,F1,ARPSO-Global,135000,364175404.21420234,496283496.3123179
1,F1,ARPSO-Global,140000,269616654.50791204,395701833.22688764
1,F1,ARPSO-Global,145000,237152238.03712985,396896271.6018743
1,F1,ARPSO-Global,150000,198212635.65715206,370543547.7462275
1,F1,ARPSO-Global,155000,192131092.41354054,372705762.63429135
1,F1,ARPSO-Global,160000,189881625.63232404,373685546.1234746
1,F1,ARPSO-Global,165000,133866013.50707142,297490776.5018133
1,F1,ARPSO-Global,170000,122690657.58285692,297650427.31920725
1,F1,ARPSO-Global,175000,120714445.71384692,298337881.79250985
1,F1,ARPSO-Global,180000,55935358.94781329,168876550.63563326
1,F1,ARPSO-Global,185000,52507046.5694258,168883952.66447943
1,F1,ARPSO-Global,190000,30457151.402580623,125438811.0144055
1,F1,ARPSO-Global,195000,29932936.349727646,125537196.4739158
1,F1,ARPSO-Global,200000,29839300.82124924,125558850.72208494
1,F1,ARPSO-Global,205000,29817070.59784082,125564225.88845639
1,F1,ARPSO-Global,210000,29811029.554139446,125565635.62319955
1,F1,ARPSO-Global,215000,29809795.504836686,125565920.58104646
