source_file,Algorithm,FunctionID,Function,CurveBin,__rows,FE__mean,MeanBestError__mean,MeanBestError__min,MeanBestError__max,StdBestError__mean,StdBestError__min,StdBestError__max
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,44,1,5000.0,7485206763.134882,7485206763.134882,7485206763.134882,2214721277.733887,2214721277.733887,2214721277.733887
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,48,1,10000.0,6445718229.270802,6445718229.270802,6445718229.270802,1782871899.7104332,1782871899.7104332,1782871899.7104332
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,50,1,15000.0,5557274349.035238,5557274349.035238,5557274349.035238,1385795195.6849773,1385795195.6849773,1385795195.6849773
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,51,1,20000.0,4779558156.41875,4779558156.41875,4779558156.41875,1245243615.7917762,1245243615.7917762,1245243615.7917762
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,52,1,25000.0,4200444972.946452,4200444972.946452,4200444972.946452,1053076737.1923988,1053076737.1923988,1053076737.1923988
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,53,1,30000.0,3661546839.124883,3661546839.124883,3661546839.124883,903937659.1200848,903937659.1200848,903937659.1200848
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,54,1,35000.0,3301155685.3747487,3301155685.3747487,3301155685.3747487,873407328.341819,873407328.341819,873407328.341819
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,55,2,42500.0,2667740885.728218,2524675046.3048825,2810806725.1515536,762098367.8221867,761166235.3139908,763030500.3303826
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,56,2,52500.0,2022882733.6146903,1864081874.6379423,2181683592.5914383,639652621.8434544,623338079.5324541,655967164.1544546
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,57,2,62500.0,1535821159.1305454,1433515621.477474,1638126696.7836168,571390879.6026311,545294593.8598652,597487165.3453971
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,58,3,75000.0,1107399386.3818653,936574998.040218,1282704523.4910736,480345183.08637184,444778459.9804996,543884687.7447636
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,59,3,90000.0,642890267.6479478,519060136.6540801,774262702.5871873,402318356.6419122,396494583.0664193,405706936.5584568
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,60,5,110000.0,259515361.14511624,156397924.81327,388690261.85497415,218170251.42386872,153975084.56746542,276312625.8777391
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,61,5,135000.0,95245821.09073514,68705821.04400685,128841525.10685408,140236402.7651737,134693839.5373504,148093699.51496893
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,62,6,162500.0,35223719.05813324,25504199.49525477,61754138.39131725,83678890.85066424,72772159.39741233,134446066.8805379
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,63,8,197500.0,24497176.089322247,24296636.07200909,25011416.2737044,73738882.6324594,73650991.65292674,73764650.09950823
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,64,9,240000.0,21687804.901862834,8527067.790025959,24290052.283615816,69077713.85911642,44101252.604890935,73763962.71089002
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,1,F1,65,8,282500.0,121371.14338982051,76515.82493554661,387386.2070879042,405079.63694843557,254752.03036828045,1422910.793750523
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,44,1,5000.0,699.1062339230022,699.1062339230022,699.1062339230022,466.65911908620745,466.65911908620745,466.65911908620745
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,48,1,10000.0,565.5943537356027,565.5943537356027,565.5943537356027,434.7866086341687,434.7866086341687,434.7866086341687
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,50,1,15000.0,455.4556072917929,455.4556072917929,455.4556072917929,263.3712877872932,263.3712877872932,263.3712877872932
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,51,1,20000.0,415.51501963478063,415.51501963478063,415.51501963478063,246.51880169998404,246.51880169998404,246.51880169998404
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,52,1,25000.0,362.7716842156477,362.7716842156477,362.7716842156477,207.190932823045,207.190932823045,207.190932823045
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,53,1,30000.0,331.3966966720183,331.3966966720183,331.3966966720183,199.5498249404908,199.5498249404908,199.5498249404908
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,54,1,35000.0,304.86122656515084,304.86122656515084,304.86122656515084,191.72872037920212,191.72872037920212,191.72872037920212
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,55,2,42500.0,265.63626133844366,248.4186042114923,282.853918465395,161.71092642855734,148.02510760619415,175.3967452509205
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,56,2,52500.0,218.50417821602585,208.9088693269592,228.0994871050925,140.5792621113933,138.0042883011683,143.15423592161832
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,57,2,62500.0,185.9927771485602,178.06291937460065,193.9226349225198,136.682941351885,133.5293478698878,139.8365348338822
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,58,3,75000.0,151.96797052895081,141.24113787909576,163.7251241788791,127.09551807249875,125.69170032714258,129.4509576630931
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,59,3,90000.0,125.43538184646421,118.02076631890752,132.75751531320756,124.40928362844211,122.73911996936272,125.58203995327996
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,60,5,110000.0,102.4171922970412,97.17362674849436,109.96599080982163,114.47586659721416,112.73418641334992,118.33423684591878
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,61,5,135000.0,92.55153265934436,88.87733020336671,96.19142797385582,112.30943117460279,109.38046498937756,113.30003438734224
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,62,6,162500.0,70.87998098225543,65.38402501023633,85.56708213953775,58.548344319144746,49.27721258521725,97.17299824130444
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,63,8,197500.0,60.29367191692194,57.37996050444033,63.98131155766094,44.272032830385,40.33819357025934,48.45147394042564
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,64,9,240000.0,53.217117237076096,49.79378919764508,57.09175337111149,33.408447588173715,28.185690646516957,39.94383270831559
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,3,F3,65,8,282500.0,46.10178888323562,42.63340782255362,49.52285796796617,25.90604308338225,23.614651727863805,27.98531374988836
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,44,1,5000.0,8940.259966556912,8940.259966556912,8940.259966556912,2462.089667370268,2462.089667370268,2462.089667370268
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,48,1,10000.0,7413.472195926472,7413.472195926472,7413.472195926472,1559.1583808076534,1559.1583808076534,1559.1583808076534
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,50,1,15000.0,6770.130021865518,6770.130021865518,6770.130021865518,1244.4221692306337,1244.4221692306337,1244.4221692306337
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,51,1,20000.0,6429.809581193768,6429.809581193768,6429.809581193768,1163.5138985578678,1163.5138985578678,1163.5138985578678
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,52,1,25000.0,5955.688543773659,5955.688543773659,5955.688543773659,1095.1349426003926,1095.1349426003926,1095.1349426003926
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,53,1,30000.0,5442.587151032229,5442.587151032229,5442.587151032229,1115.673322459803,1115.673322459803,1115.673322459803
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,54,1,35000.0,4793.341789157778,4793.341789157778,4793.341789157778,1085.5399948138297,1085.5399948138297,1085.5399948138297
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,55,2,42500.0,4114.552999221245,3936.4521136243297,4292.653884818161,1001.0678300080361,976.2767655964478,1025.8588944196244
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,56,2,52500.0,3326.710922432114,3144.34504703542,3509.076797828808,751.948109431745,740.357921972245,763.5382968912451
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,57,2,62500.0,2855.088901743269,2724.6049021073663,2985.5729013791724,740.258238654601,738.9542744854946,741.5622028237074
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,58,3,75000.0,2334.1790765197024,2155.8520533161272,2488.5730386049568,744.5036236162964,736.6399683181639,752.0915184404616
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,59,3,90000.0,1649.5919138409433,1453.867906620319,1895.557703747921,609.8346799726852,561.7988680030296,678.7778991336544
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,60,5,110000.0,1046.4039906631301,836.8457664590971,1296.6705158211726,489.77824134251216,439.1666545440032,555.4709906615725
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,61,5,135000.0,660.8238494570066,567.128816139852,771.7603254524913,397.5482581827552,337.9189124052068,450.6116838835005
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,62,6,162500.0,415.0112763632255,339.2614223811032,504.8306590652791,247.09878484827038,193.48375319059187,272.6401823367835
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,63,8,197500.0,250.82480838971262,205.05912855447204,320.95210259601885,109.24721687739938,74.57210518307348,189.20295046473805
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,64,9,240000.0,190.9803431095438,182.9436684500388,200.34890745046425,72.26940326954949,70.0766789138662,74.8684774201691
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,4,F4,65,8,282500.0,174.38515766692447,172.018831922725,179.5135439201202,57.713246638647696,55.67371011503884,64.03440391519045
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,44,1,5000.0,0.0201564366864772,0.0201564366864772,0.0201564366864772,0.0097899056405027,0.0097899056405027,0.0097899056405027
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,48,1,10000.0,0.0162977915184399,0.0162977915184399,0.0162977915184399,0.0070432372586461,0.0070432372586461,0.0070432372586461
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,50,1,15000.0,0.0142451882294873,0.0142451882294873,0.0142451882294873,0.0047899297367337,0.0047899297367337,0.0047899297367337
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,51,1,20000.0,0.0129939180482116,0.0129939180482116,0.0129939180482116,0.0046594715968105,0.0046594715968105,0.0046594715968105
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,52,1,25000.0,0.0115044207482071,0.0115044207482071,0.0115044207482071,0.0038203599631134,0.0038203599631134,0.0038203599631134
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,53,1,30000.0,0.0105012261308975,0.0105012261308975,0.0105012261308975,0.0035596929153863,0.0035596929153863,0.0035596929153863
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,54,1,35000.0,0.0100025401427804,0.0100025401427804,0.0100025401427804,0.0035568194890804,0.0035568194890804,0.0035568194890804
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,55,2,42500.0,0.0084575955298125,0.0077058429755254,0.0092093480840996,0.0033039063255763503,0.0030481528583606,0.0035596597927921
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,56,2,52500.0,0.006017249073285699,0.0055022531579822,0.0065322449885892,0.00296004857741965,0.0028106308066769,0.0031094663481624
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,57,2,62500.0,0.004218928406252501,0.0038792601996703,0.0045585966128347,0.0020214325687492,0.0019158179114535,0.0021270472260449
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,58,3,75000.0,0.003430126366972233,0.0031196208102945,0.003661483459723,0.0019553728786056664,0.0018842635899709,0.002020030229375
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,59,3,90000.0,0.0024281873289667666,0.0021141505250303,0.0027151846171212,0.0015185352822161,0.0013743410787124,0.0017053854886291
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,60,5,110000.0,0.00100637945760084,0.0005090463415929,0.0016679772757394,0.00079373775551268,0.0005629420152947,0.0011878975034757
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,61,5,135000.0,0.00031291904421888,0.0002381777943374,0.0004234325565979,0.00044773390210513995,0.0003987476479121,0.0004982899264121
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,62,6,162500.0,0.00019056670010995,0.0001666826103398,0.0002182915363656,0.0003313371003212,0.0002876085773963,0.0003785066311426
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,63,8,197500.0,0.000142890356736525,0.0001294484715572,0.0001613111229043,0.0002355508676872375,0.0002074221274631,0.0002768685574132
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,64,9,240000.0,0.00011904551728735557,0.0001128956413253,0.0001252419573006,0.00019060544891855556,0.0001786381270099,0.0002001501057675
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,5,F5,65,8,282500.0,0.00010496494016654669,9.459452821147353e-05,0.0001117135740457,0.000167968273223875,0.0001626688451474,0.0001763964342279
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,6,F6,44,1,5000.0,318143.5427892892,318143.5427892892,318143.5427892892,123769.92916125875,123769.92916125875,123769.92916125875
