source_file,Algorithm,FunctionID,Function,__rows,BestFitness__sum,BestFitness__count,BestFitness__min,BestFitness__max,BestError__sum,BestError__count,BestError__min,BestError__max,RestartCount__sum,RestartCount__count,RestartCount__min,RestartCount__max,RestartedParticlesTotal__sum,RestartedParticlesTotal__count,RestartedParticlesTotal__min,RestartedParticlesTotal__max,Runtime__sum,Runtime__count,Runtime__min,Runtime__max,FEs__sum,FEs__count,FEs__min,FEs__max,BestFitness__mean,BestError__mean,RestartCount__mean,RestartedParticlesTotal__mean,Runtime__mean,FEs__mean
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,1,F1,30,2297970.3672032896,30,175.61243834689847,1380920.3896917887,2294970.3672032896,30,75.61243834689847,1380820.3896917887,72047,30,2326,2478,461698,30,14975,15865,271.53795051574707,30,8.120620965957642,10.33489227294922,9000000,30,300000,300000,76599.01224010966,76499.01224010966,2401.5666666666666,15389.933333333332,9.05126501719157,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,3,F3,30,10326.984166910974,30,331.81267378163903,406.69377965309377,1326.9841669109733,30,31.812673781639035,106.69377965309376,63058,30,2029,2176,411847,30,13314,14241,477.1946151256561,30,11.94772243499756,20.164860486984253,9000000,30,300000,300000,344.2328055636991,44.23280556369911,2101.9333333333334,13728.233333333334,15.906487170855204,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,4,F4,30,17162.96034717633,30,488.5512982436314,697.0588105078566,5162.960347176328,30,88.55129824363144,297.0588105078566,69013,30,2234,2366,442782,30,14383,15154,348.1169345378876,30,10.754900693893433,13.688933610916138,9000000,30,300000,300000,572.0986782392109,172.09867823921093,2300.4333333333334,14759.4,11.603897817929585,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,5,F5,30,15000.003006742993,30,500.0000001012833,500.0005798542544,0.003006742991714948,30,1.0128331950909343e-07,0.0005798542543971,75513,30,2034,2944,519387,30,13612,20280,1927.6576282978058,30,55.85509896278381,74.03892803192139,9000000,30,300000,300000,500.0001002247664,0.00010022476639049827,2517.1,17312.9,64.25525427659353,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,6,F6,30,27481.67322080029,30,701.4313950242652,1179.2290177623042,9481.67322080029,30,101.43139502426516,579.2290177623042,67887,30,2212,2347,439858,30,14306,15336,682.8721420764923,30,20.791961431503296,27.249945163726807,9000000,30,300000,300000,916.0557740266763,316.0557740266764,2262.9,14661.933333333332,22.762404735883077,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,7,F7,30,25870.513977158244,30,792.0,974.0,4870.5139771582435,30,92.0,274.0,61939,30,1797,2287,426709,30,12873,15596,1191.6981990337372,30,36.7444314956665,46.40849804878235,9000000,30,300000,300000,862.3504659052747,162.35046590527477,2064.633333333333,14223.633333333333,39.72327330112457,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,8,F8,30,24093.895020495092,30,800.1792084024084,815.4793563433602,93.89502049509326,30,0.1792084024084488,15.479356343360225,70542,30,2162,2636,461017,30,14400,17484,753.8252303600311,30,21.533997774124146,31.4423770904541,9000000,30,300000,300000,803.1298340165031,3.129834016503109,2351.4,15367.233333333334,25.127507678667705,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,9,F9,30,-93792.42737699243,30,-6118.82705377616,-136.07547233895457,0.0,30,0.0,0.0,37747,30,1053,1488,224024,30,6114,9150,1279.8044137954712,30,37.18469548225403,54.97126507759094,9000000,30,300000,300000,-3126.4142458997476,0.0,1258.2333333333333,7467.466666666666,42.6601471265157,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,10,F10,30,803942.3377746539,30,1765.6570430508075,147529.79624306242,773942.3377746539,30,765.6570430508077,146529.79624306242,50278,30,1220,1833,310862,30,7884,11226,843.4300272464752,30,25.05991578102112,34.17703604698181,9000000,30,300000,300000,26798.0779258218,25798.0779258218,1675.9333333333334,10362.066666666668,28.114334241549173,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,11,F11,30,118804036.67357495,30,18126.089957345088,22781091.36842298,118771036.67357495,30,17026.089957345088,22779991.36842298,63295,30,1975,2278,429073,30,13350,15428,1335.1974465847015,30,42.04233169555664,46.325664043426514,9000000,30,300000,300000,3960134.555785832,3959034.555785832,2109.8333333333335,14302.433333333332,44.506581552823384,300000.0
