source_file,Algorithm,Function,CurveBin,__rows,MeanBest__min,MeanBest__max
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,3,1,82952624979.94313,82952624979.94313
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,5,1,59543420975.72594,59543420975.72594
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,7,1,52958702723.55742,52958702723.55742
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,8,1,47711683112.85949,47711683112.85949
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,9,1,42278834977.96472,42278834977.96472
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,10,2,34116437191.77679,37958776794.14352
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,11,1,31164555288.20862,31164555288.20862
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,12,3,23751187690.7556,28404339294.69937
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,13,2,21369918304.66828,22441873448.48549
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,14,3,17860774413.727608,19727614890.850517
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,15,4,14843677962.348412,16861491560.653412
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,16,5,13671595863.77516,14673932512.50268
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,17,5,12660913347.966732,13333174072.015646
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,18,7,11436813347.791204,12595538308.972218
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,19,8,10234186361.91724,11253187755.779491
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,20,10,9838333762.253632,10200787441.691706
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,21,12,9167792599.914328,9769892764.803442
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,22,14,8659054525.14469,9106830468.906397
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,23,17,8368582163.666021,8578686640.699151
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,24,22,7985075216.110208,8353707593.22666
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,25,25,7817282920.567571,7969753601.849092
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,26,31,7490901946.606685,7817282920.567571
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,27,38,7060807006.070957,7490901946.606685
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,28,46,6713247846.897394,7032648430.206482
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,29,55,6387705316.0234,6712326804.689242
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,30,67,6055846168.468756,6349116270.940214
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,31,81,5685975282.117021,6054757709.835176
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,32,98,5292214093.215693,5677931109.751788
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F1,33,119,4680463611.456497,5290965829.8863735
