Function,Algorithm,Rank,Mean,Std
CEC2017-F1,ARPSO-EIS,4.0,11291.304703810116,8106.28495815573
CEC2017-F1,ARPSO-v4,3.0,6442.745219488777,7305.005468464047
CEC2017-F1,CLPSO,1.0,890.4774247308989,408.521670141513
CEC2017-F1,DE,2.0,3210.185896348133,4088.835615105037
CEC2017-F1,GA,6.0,27324458.41056664,7763776.956481942
CEC2017-F1,HPSO-TVAC,7.0,460876120.98737496,925192127.027257
CEC2017-F1,PSO,8.0,1248012545.1937675,1564875222.693045
CEC2017-F1,PSO-AW,9.0,1488073181.4483597,1657925543.7976656
CEC2017-F1,PSO-RS,5.0,5655647.12417167,30350951.68373616
CEC2017-F3,ARPSO-EIS,2.0,7.010688326166322e-14,2.4453076272952573e-14
CEC2017-F3,ARPSO-v4,3.0,7.579122514774402e-14,2.725433327471957e-14
CEC2017-F3,CLPSO,4.0,0.1150221885158544,0.07178942410604912
CEC2017-F3,DE,1.0,3.979039320256561e-14,2.6494240029217e-14
CEC2017-F3,GA,7.0,124.70997218773779,51.84567727021636
CEC2017-F3,HPSO-TVAC,6.0,79.74810512347999,345.1508133173046
CEC2017-F3,PSO,8.0,433.4630309666689,630.7227679327898
CEC2017-F3,PSO-AW,9.0,1690.8119902549563,2151.8066055872364
CEC2017-F3,PSO-RS,5.0,72.68285897008903,253.40546460265415
CEC2017-F4,ARPSO-EIS,3.0,35.97599692065426,16.5985508639856
CEC2017-F4,ARPSO-v4,4.0,42.88831628381232,23.281463319719514
CEC2017-F4,CLPSO,1.0,33.57888265004726,6.009210623323344
CEC2017-F4,DE,2.0,34.49348684744245,10.348209303653137
CEC2017-F4,GA,6.0,53.45396062020411,29.576018369722092
CEC2017-F4,HPSO-TVAC,5.0,53.262951557256976,34.84472598588668
CEC2017-F4,PSO,8.0,175.1124719395004,247.46552699726706
CEC2017-F4,PSO-AW,9.0,189.1701442989092,279.41255572046964
CEC2017-F4,PSO-RS,7.0,59.95595029674283,49.89324721174315
CEC2017-F5,ARPSO-EIS,3.0,105.73510719928444,28.116667178740286
CEC2017-F5,ARPSO-v4,4.0,120.02469958220989,29.98712239850256
CEC2017-F5,CLPSO,2.0,67.45085034372184,7.708114812354296
CEC2017-F5,DE,1.0,32.23685796552245,24.224676346503795
CEC2017-F5,GA,6.0,265.7841114962909,35.73245120208051
CEC2017-F5,HPSO-TVAC,7.0,564.4508542622224,880.545301387892
CEC2017-F5,PSO,8.0,2210.81328101632,2173.446830656412
CEC2017-F5,PSO-AW,9.0,3993.0731640804174,3221.420096870831
CEC2017-F5,PSO-RS,5.0,226.07368112359782,60.45206106389827
CEC2017-F6,ARPSO-EIS,5.0,9.571695022714266e-05,0.00014585900795950155
CEC2017-F6,ARPSO-v4,6.0,0.00010070105172796199,0.0001816174590687534
CEC2017-F6,CLPSO,8.0,0.00017181033722787713,8.738532190299348e-05
CEC2017-F6,DE,1.0,9.31762921633587e-09,2.300166217219349e-08
CEC2017-F6,GA,9.0,0.00021912289384999893,0.0002213903620378254
CEC2017-F6,HPSO-TVAC,3.0,6.02095500729168e-05,0.00018376741251770857
CEC2017-F6,PSO,4.0,7.199306469374278e-05,9.783359408019839e-05
CEC2017-F6,PSO-AW,2.0,4.4144513882808196e-05,4.635843962182252e-05
CEC2017-F6,PSO-RS,7.0,0.000155586873112649,0.00017997570871306498
CEC2017-F7,ARPSO-EIS,4.0,169.90894479591415,29.350229004124117
CEC2017-F7,ARPSO-v4,3.0,156.94398792095743,35.38662919064778
CEC2017-F7,CLPSO,2.0,108.7764094173573,10.987856332090372
CEC2017-F7,DE,1.0,105.11845327843162,66.78220033345139
CEC2017-F7,GA,6.0,1192.9653607813277,214.85404966423962
CEC2017-F7,HPSO-TVAC,7.0,28457.357118355263,31312.27426785057
CEC2017-F7,PSO,8.0,93034.25458467171,95443.77578413366
CEC2017-F7,PSO-AW,9.0,130405.06238956677,85396.60706894523
CEC2017-F7,PSO-RS,5.0,996.0783250981116,2610.071147472025
CEC2017-F8,ARPSO-EIS,4.0,152.7500000002138,48.020604414583104
CEC2017-F8,ARPSO-v4,6.0,160.93333333333334,41.631332144094955
CEC2017-F8,CLPSO,2.0,132.88491410562492,16.84640244073899
CEC2017-F8,DE,9.0,269.32985717895747,80.1670097515241
CEC2017-F8,GA,3.0,152.57759651258093,40.54855315755257
CEC2017-F8,HPSO-TVAC,1.0,130.55,32.00602044659076
CEC2017-F8,PSO,7.0,196.41780075678793,68.88208868021874
CEC2017-F8,PSO-AW,5.0,159.104292572968,36.03976544025908
CEC2017-F8,PSO-RS,8.0,198.08983717517495,59.10649400121339
CEC2017-F9,ARPSO-EIS,5.0,1.5618027212995496,1.299563007129357
CEC2017-F9,ARPSO-v4,6.0,1.7276989614079108,1.9174007819110526
CEC2017-F9,CLPSO,2.0,0.27837653678473845,0.18026966808579378
CEC2017-F9,DE,1.0,0.07848218589558656,0.15413266745438925
CEC2017-F9,GA,4.0,1.3217322281733839,1.2223156388136527
CEC2017-F9,HPSO-TVAC,3.0,0.44052588683646643,0.4385685418214171
CEC2017-F9,PSO,8.0,4.017223261282349,3.4876495339816667
CEC2017-F9,PSO-AW,7.0,2.806489775366371,2.6345374885344386
CEC2017-F9,PSO-RS,9.0,4.4158214969113825,3.273484109479432
CEC2017-F10,ARPSO-EIS,4.0,-3538.9940813257726,1190.2670745245025
CEC2017-F10,ARPSO-v4,5.0,-3458.7087165896037,1170.8593100038506
CEC2017-F10,CLPSO,1.0,-5005.480765616081,646.3884579305787
CEC2017-F10,DE,9.0,-1627.0802978117422,2989.8560920996197
CEC2017-F10,GA,8.0,-2663.9082272194946,939.14368351052
CEC2017-F10,HPSO-TVAC,2.0,-3760.4775124207217,1280.3130784572163
CEC2017-F10,PSO,7.0,-3078.9356820190706,1042.9468146147321
CEC2017-F10,PSO-AW,3.0,-3706.8243189770265,1231.551234142501
CEC2017-F10,PSO-RS,6.0,-3350.915613717942,1391.0484918601844
CEC2017-F11,ARPSO-EIS,5.0,21342.588624612268,29870.523220615898
CEC2017-F11,ARPSO-v4,4.0,16774.182914801,20150.51179021822
CEC2017-F11,CLPSO,3.0,12708.093904897687,5098.503439516977
CEC2017-F11,DE,1.0,331.17011203543285,454.2887058476909
CEC2017-F11,GA,2.0,11255.199562068901,5773.006188450754
CEC2017-F11,HPSO-TVAC,6.0,32878.604801642985,27699.788635205838
CEC2017-F11,PSO,7.0,45659.51270707209,28181.945457111935
CEC2017-F11,PSO-AW,9.0,102253.4551030174,76741.52542927074
CEC2017-F11,PSO-RS,8.0,52445.35053572218,41319.530027551395
CEC2017-F12,ARPSO-EIS,4.0,1565669.2893103485,2258446.881369619
CEC2017-F12,ARPSO-v4,5.0,2031449.5374091368,3024958.131179168
CEC2017-F12,CLPSO,2.0,258792.87739230736,89221.47287335111
CEC2017-F12,DE,1.0,3888.896838719232,2341.9310911269117
CEC2017-F12,GA,3.0,1082651.0463464588,418529.6397598034
CEC2017-F12,HPSO-TVAC,7.0,43922522.94479559,213303761.41422525
CEC2017-F12,PSO,8.0,66535581.425678626,223845458.03953692
CEC2017-F12,PSO-AW,9.0,116642009.09827593,295000161.0139659
CEC2017-F12,PSO-RS,6.0,2518750.7199348295,3880512.1800289913
CEC2017-F13,ARPSO-EIS,4.0,181140.34723472406,131139.37269490783
CEC2017-F13,ARPSO-v4,5.0,220319.92803294124,124625.00850031244
