FunctionID,Function,Algorithm,FE,MeanBestError,StdBestError
1,F1,ARPSO-EIS,5000,7485206763.134882,2214721277.733887
1,F1,ARPSO-EIS,10000,6445718229.270802,1782871899.7104332
1,F1,ARPSO-EIS,15000,5557274349.035238,1385795195.6849773
1,F1,ARPSO-EIS,20000,4779558156.41875,1245243615.7917762
1,F1,ARPSO-EIS,25000,4200444972.946452,1053076737.1923988
1,F1,ARPSO-EIS,30000,3661546839.124883,903937659.1200848
1,F1,ARPSO-EIS,35000,3301155685.3747487,873407328.341819
1,F1,ARPSO-EIS,40000,2810806725.1515536,763030500.3303826
1,F1,ARPSO-EIS,45000,2524675046.3048825,761166235.3139908
1,F1,ARPSO-EIS,50000,2181683592.5914383,655967164.1544546
1,F1,ARPSO-EIS,55000,1864081874.6379423,623338079.5324541
1,F1,ARPSO-EIS,60000,1638126696.7836168,597487165.3453971
1,F1,ARPSO-EIS,65000,1433515621.477474,545294593.8598652
1,F1,ARPSO-EIS,70000,1282704523.4910736,543884687.7447636
1,F1,ARPSO-EIS,75000,1102918637.6143043,452372401.5338522
1,F1,ARPSO-EIS,80000,936574998.040218,444778459.9804996
1,F1,ARPSO-EIS,85000,774262702.5871873,404753550.30086064
1,F1,ARPSO-EIS,90000,635347963.7025759,396494583.0664193
1,F1,ARPSO-EIS,95000,519060136.6540801,405706936.5584568
1,F1,ARPSO-EIS,100000,388690261.85497415,276312625.8777391
1,F1,ARPSO-EIS,105000,315772746.57770365,269230738.8238439
1,F1,ARPSO-EIS,110000,245015377.68837652,228964174.66510445
1,F1,ARPSO-EIS,115000,191700494.7912568,162368633.18519062
1,F1,ARPSO-EIS,120000,156397924.81327,153975084.56746542
1,F1,ARPSO-EIS,125000,128841525.10685408,148093699.51496893
1,F1,ARPSO-EIS,130000,111067320.06655508,147125893.80016434
1,F1,ARPSO-EIS,135000,89148788.19974062,135894056.2575165
1,F1,ARPSO-EIS,140000,78465651.03651907,135374524.71586835
1,F1,ARPSO-EIS,145000,68705821.04400685,134693839.5373504
1,F1,ARPSO-EIS,150000,61754138.39131725,134446066.8805379
1,F1,ARPSO-EIS,155000,38589246.74307445,74572873.74751705
1,F1,ARPSO-EIS,160000,31156980.6364516,72772159.39741233
1,F1,ARPSO-EIS,165000,27860791.4598245,73333962.48631804
1,F1,ARPSO-EIS,170000,26476957.62287684,73431480.60418542
1,F1,ARPSO-EIS,175000,25504199.49525477,73516801.98801468
1,F1,ARPSO-EIS,180000,25011416.2737044,73650991.65292674
1,F1,ARPSO-EIS,185000,24718932.3262014,73733955.48718835
1,F1,ARPSO-EIS,190000,24546440.497845635,73720261.96778567
1,F1,ARPSO-EIS,195000,24415765.909936983,73756000.75663705
1,F1,ARPSO-EIS,200000,24353714.95943829,73761342.09057039
1,F1,ARPSO-EIS,205000,24325860.597282685,73764650.09950823
1,F1,ARPSO-EIS,210000,24308642.078159478,73761419.54785652
1,F1,ARPSO-EIS,215000,24296636.07200909,73762439.45720224
1,F1,ARPSO-EIS,220000,24290052.283615816,73763962.71089002
1,F1,ARPSO-EIS,225000,24286261.24793119,73763266.75454019
1,F1,ARPSO-EIS,230000,24283886.181299165,73762290.32655354
1,F1,ARPSO-EIS,235000,24282993.64662106,73762373.34066659
1,F1,ARPSO-EIS,240000,24282553.8753027,73762338.31440778
1,F1,ARPSO-EIS,245000,24282103.30415956,73762350.64681551
1,F1,ARPSO-EIS,250000,24281973.19871713,73762369.46466294
