Function,Algorithm,Mean,Std,Best,Worst,Median,AvgRestart
CEC2017-F1,ARPSO-EIS,11291.304703810116,8106.28495815573,279.98838722405145,20841.76710091616,6728.182328200148,74.0
CEC2017-F1,ARPSO-v4,6442.745219488777,7305.005468464047,41.41085539802228,20841.76710091616,4540.200119293334,74.0
CEC2017-F1,CLPSO,890.4774247308989,408.521670141513,251.7529034247025,2252.855627987846,817.9715353019624,0.0
CEC2017-F1,DE,3210.185896348133,4088.835615105037,1.4210854715202004e-14,14127.219600029017,1852.41321388482,0.0
CEC2017-F1,GA,27324458.41056664,7763776.956481942,13576369.985993316,41172523.90394583,28023747.59988961,0.0
CEC2017-F1,HPSO-TVAC,460876120.98737496,925192127.027257,40.91752459703525,3872190065.4342856,10936.688953857669,0.0
CEC2017-F1,PSO,1248012545.1937675,1564875222.693045,58.72509188516239,5581259059.961477,839514335.1931508,0.0
CEC2017-F1,PSO-AW,1488073181.4483595,1657925543.7976656,3.0170132893682933,7352156390.558496,1268645473.4501953,0.0
CEC2017-F1,PSO-RS,5655647.12417167,30350951.68373616,11.483579276631588,166347305.51388976,5537.200605227574,3.7666666666666666
CEC2017-F10,ARPSO-EIS,-3538.9940813257726,1190.2670745245025,-6787.757928225863,-1521.531015122686,-3480.3613518077946,38.1
CEC2017-F10,ARPSO-v4,-3458.708716589604,1170.8593100038506,-5376.912211477142,-970.5554115925806,-3630.181105980966,30.73333333333333
CEC2017-F10,CLPSO,-5005.480765616081,646.3884579305787,-6818.082307167297,-3907.726747281544,-4907.074606819993,0.0
CEC2017-F10,DE,-1627.0802978117422,2989.85609209962,-7863.286602025895,1985.6491102070904,-662.1477557629523,0.0
CEC2017-F10,GA,-2663.9082272194946,939.14368351052,-5443.9746768129735,-1067.5300858469143,-2650.5415526954293,0.0
CEC2017-F10,HPSO-TVAC,-3760.4775124207217,1280.3130784572163,-6784.281000380921,-1393.8799784617822,-3868.743964771773,0.0
CEC2017-F10,PSO,-3078.9356820190706,1042.946814614732,-5207.398074230492,-1457.764160866678,-3065.4812000314023,0.0
CEC2017-F10,PSO-AW,-3706.8243189770265,1231.551234142501,-6293.154079707245,-1507.0967700054844,-3551.879035493273,0.0
CEC2017-F10,PSO-RS,-3350.915613717942,1391.0484918601844,-6069.296302224007,565.9652482085385,-3253.6999956822065,8.833333333333334
CEC2017-F11,ARPSO-EIS,21342.588624612268,29870.523220615894,900.7482688984488,131774.70934309546,11079.04477294422,57.93333333333333
CEC2017-F11,ARPSO-v4,16774.182914801,20150.51179021822,352.5295026247986,81251.52224964031,8434.380131151365,70.06666666666666
CEC2017-F11,CLPSO,12708.093904897689,5098.503439516977,1918.463018534053,21185.77942139773,12628.615732765047,0.0
