Function,FunctionID,Algorithm,Run,FE,RestartIndex,RestartedParticles,RestartRatio,Diversity,Stagnation,BestFitnessAfterRestart,BestErrorAfterRestart
F20,20,PSO-RS,1,11660,1,10,0.1866666666666666,0.0843170667258114,50,7741.058303304622,5741.058303304622
F20,20,PSO-RS,1,15920,2,10,0.1866666666666666,0.0816386980198208,50,7549.698181511594,5549.698181511594
F20,20,PSO-RS,1,18430,3,10,0.1866666666666666,0.0756724839544919,50,7549.698181511594,5549.698181511594
F20,20,PSO-RS,1,20940,4,10,0.1866666666666666,0.0745057311061982,50,7549.698181511594,5549.698181511594
F20,20,PSO-RS,1,23450,5,10,0.1866666666666666,0.0745604917353543,50,7549.698181511594,5549.698181511594
F20,20,PSO-RS,1,26560,6,10,0.1866666666666666,0.0711516579315498,50,7333.174143758048,5333.174143758048
F20,20,PSO-RS,1,29070,7,10,0.1866666666666666,0.0724193882042235,50,7333.174143758048,5333.174143758048
F20,20,PSO-RS,1,31580,8,10,0.1866666666666666,0.0706417923919226,50,7333.174143758048,5333.174143758048
F20,20,PSO-RS,1,36190,9,10,0.1866666666666666,0.0744963537438073,50,6056.624981876531,4056.624981876531
F20,20,PSO-RS,1,38700,10,10,0.1866666666666666,0.0714782298348551,50,6056.624981876531,4056.624981876531
F20,20,PSO-RS,1,41210,11,10,0.1866666666666666,0.0681096082109094,50,6056.624981876531,4056.624981876531
F20,20,PSO-RS,1,43720,12,10,0.1866666666666666,0.0658828893268011,50,6056.624981876531,4056.624981876531
F20,20,PSO-RS,1,47830,13,10,0.1866666666666666,0.0602559297293621,50,5878.559828459584,3878.559828459584
F20,20,PSO-RS,1,50340,14,10,0.1866666666666666,0.0575704904961185,50,5878.559828459584,3878.559828459584
F20,20,PSO-RS,1,57800,15,10,0.1866666666666666,0.0645910945279638,50,5054.625914868309,3054.6259148683093
F20,20,PSO-RS,1,62810,16,10,0.1866666666666666,0.0559929665061251,50,4840.642589796046,2840.642589796046
F20,20,PSO-RS,1,65320,17,10,0.1866666666666666,0.0560445571391411,50,4840.642589796046,2840.642589796046
F20,20,PSO-RS,1,70675,18,5,0.0906666666666666,0.0498918106464467,5,4636.14005298074,2636.14005298074
F20,20,PSO-RS,1,72380,19,5,0.0821333333333333,0.0497583906243139,1,4573.5076476198265,2573.5076476198265
F20,20,PSO-RS,1,72935,20,5,0.0825421282493199,0.0496027924610437,1,4573.253405645166,2573.253405645166
F20,20,PSO-RS,1,73390,21,5,0.0821140642061039,0.0496696774677962,0,4573.243199151058,2573.2431991510584
F20,20,PSO-RS,1,73795,22,5,0.086148894132996,0.0490392352917193,0,4573.24271007009,2573.2427100700897
F20,20,PSO-RS,1,74700,23,5,0.0813344657150651,0.049791489732021,0,4573.242648078337,2573.242648078337
F20,20,PSO-RS,1,76255,24,5,0.0880346021908745,0.0487445934076758,0,4573.242647444493,2573.242647444493
