FunctionID,Algorithm,MeanError,Rank
1,ARPSO-EIS,76499.01224010966,5.0
1,ARPSO-Fixed,9136.101345983638,3.0
1,ARPSO-Global,10674.637356248057,4.0
1,ARPSO-Local,7954.159842896741,1.0
1,ARPSO-SRR,9001.842466992277,2.0
1,PSO-RS,8069684.897158904,6.0
3,ARPSO-EIS,44.23280556369911,4.0
3,ARPSO-Fixed,43.65722817390522,3.0
3,ARPSO-Global,83.60899991728456,6.0
3,ARPSO-Local,40.444758863265584,2.0
3,ARPSO-SRR,38.0550045564732,1.0
3,PSO-RS,59.73163613755878,5.0
4,ARPSO-EIS,172.09867823921093,4.0
4,ARPSO-Fixed,156.76211527564354,3.0
4,ARPSO-Global,242.5005552250169,6.0
4,ARPSO-Local,149.0825166521918,2.0
4,ARPSO-SRR,135.91752086879256,1.0
4,PSO-RS,182.8569007916164,5.0
5,ARPSO-EIS,0.0001002247663904,4.0
5,ARPSO-Fixed,0.000144623552605,6.0
5,ARPSO-Global,9.199953885853224e-05,3.0
5,ARPSO-Local,7.935962135925677e-05,2.0
5,ARPSO-SRR,0.0001079992728212,5.0
5,PSO-RS,3.615299784579085e-05,1.0
6,ARPSO-EIS,316.0557740266764,4.0
6,ARPSO-Fixed,236.3511402955509,3.0
6,ARPSO-Global,668.9924966507945,5.0
6,ARPSO-Local,193.9726152232347,1.0
6,ARPSO-SRR,224.163237469481,2.0
6,PSO-RS,798.3618748938483,6.0
7,ARPSO-EIS,162.35046590527477,1.0
7,ARPSO-Fixed,179.86672555033084,4.0
7,ARPSO-Global,165.97418396165725,2.0
7,ARPSO-Local,181.5333333333336,5.0
7,ARPSO-SRR,173.73333333333332,3.0
7,PSO-RS,183.31793586028695,6.0
8,ARPSO-EIS,3.129834016503109,6.0
8,ARPSO-Fixed,2.1266276953854724,2.0
8,ARPSO-Global,1.9013356950524023,1.0
8,ARPSO-Local,2.2230415362648994,3.0
8,ARPSO-SRR,2.549946654250592,4.0
8,PSO-RS,2.5684796108293275,5.0
9,ARPSO-EIS,0.0,3.0
9,ARPSO-Fixed,0.0,3.0
9,ARPSO-Global,0.0,3.0
9,ARPSO-Local,0.0,3.0
9,ARPSO-SRR,9.838111380776477,6.0
9,PSO-RS,0.0,3.0
10,ARPSO-EIS,25798.0779258218,4.0
10,ARPSO-Fixed,24856.81722312504,3.0
