Function,FunctionID,Algorithm,Run,FE,BestFitness,BestError
F1,1,PSO-RS,6,5000,6640113501.264877,6640113401.264877
F1,1,PSO-RS,6,10000,6640113501.264877,6640113401.264877
F1,1,PSO-RS,6,15000,6640113501.264877,6640113401.264877
F1,1,PSO-RS,6,20000,6375113680.676262,6375113580.676262
F1,1,PSO-RS,6,25000,5330117159.725619,5330117059.725619
F1,1,PSO-RS,6,30000,5098816876.053641,5098816776.053641
F1,1,PSO-RS,6,35000,3850242202.735709,3850242102.735709
F1,1,PSO-RS,6,40000,3850242202.735709,3850242102.735709
F1,1,PSO-RS,6,45000,2686105310.1094413,2686105210.1094413
F1,1,PSO-RS,6,50000,2444037718.6463604,2444037618.6463604
F1,1,PSO-RS,6,55000,2038195893.720371,2038195793.720371
F1,1,PSO-RS,6,60000,2016949144.4209151,2016949044.4209151
F1,1,PSO-RS,6,65000,1802636315.20964,1802636215.20964
F1,1,PSO-RS,6,70000,1714557534.9090276,1714557434.9090276
F1,1,PSO-RS,6,75000,1709708711.141989,1709708611.141989
F1,1,PSO-RS,6,80000,1612411655.805532,1612411555.805532
F1,1,PSO-RS,6,85000,1258394515.1775148,1258394415.1775148
F1,1,PSO-RS,6,90000,1258394490.5913067,1258394390.5913067
F1,1,PSO-RS,6,95000,1180307083.3302336,1180306983.3302336
F1,1,PSO-RS,6,100000,1109631185.8171632,1109631085.8171632
F1,1,PSO-RS,6,105000,959785467.0793288,959785367.0793288
F1,1,PSO-RS,6,110000,930564393.4226576,930564293.4226576
F1,1,PSO-RS,6,115000,838402089.4739097,838401989.4739097
F1,1,PSO-RS,6,120000,749641385.4421941,749641285.4421941
F1,1,PSO-RS,6,125000,631115623.5951654,631115523.5951654
F1,1,PSO-RS,6,130000,236829433.68226907,236829333.68226907
F1,1,PSO-RS,6,135000,140749266.54087093,140749166.54087093
F1,1,PSO-RS,6,140000,83645624.0238282,83645524.0238282
F1,1,PSO-RS,6,145000,46919655.418842286,46919555.418842286
F1,1,PSO-RS,6,150000,32263363.236660182,32263263.236660182
F1,1,PSO-RS,6,155000,9798915.631895632,9798815.631895632
F1,1,PSO-RS,6,160000,3834169.242148863,3834069.242148863
F1,1,PSO-RS,6,165000,2619784.7033074624,2619684.7033074624
F1,1,PSO-RS,6,170000,1582556.6735704115,1582456.6735704115
F1,1,PSO-RS,6,175000,1266309.389093406,1266209.389093406
F1,1,PSO-RS,6,180000,880228.9865883612,880128.9865883612
F1,1,PSO-RS,6,185000,654323.0960512231,654223.0960512231
F1,1,PSO-RS,6,190000,654311.9491299005,654211.9491299005
F1,1,PSO-RS,6,195000,349727.9520980379,349627.9520980379
F1,1,PSO-RS,6,200000,173710.31698464163,173610.31698464163
F1,1,PSO-RS,6,205000,166217.17062362932,166117.17062362932
F1,1,PSO-RS,6,210000,114995.79279180364,114895.79279180364
F1,1,PSO-RS,6,215000,82838.81866717241,82738.81866717241
F1,1,PSO-RS,6,220000,45633.22233840359,45533.22233840359
F1,1,PSO-RS,6,225000,45633.22233840359,45533.22233840359
F1,1,PSO-RS,6,230000,32767.736012335845,32667.736012335845
F1,1,PSO-RS,6,235000,28816.847278459703,28716.847278459703
F1,1,PSO-RS,6,240000,28574.23470434166,28474.23470434166
F1,1,PSO-RS,6,245000,27184.44676084411,27084.44676084411
F1,1,PSO-RS,6,250000,25866.99648692129,25766.99648692129
