ExperimentMode,Function,Algorithm,Run,BestValue,RestartCount,RuntimeSeconds,Seed
full,CEC2017-F1,PSO,1,652231053.2002276,0,3.512455299998692,1685010769
full,CEC2017-F1,PSO,2,1026799750.7651024,0,3.4860669000008784,633986998
full,CEC2017-F1,PSO,3,2402702844.624057,0,3.4525979999998526,1125409398
full,CEC2017-F1,PSO,4,3872186088.009404,0,3.466324599998188,3415846827
full,CEC2017-F1,PSO,5,1604904318.6418395,0,3.768598599999677,4153006424
full,CEC2017-F1,PSO,6,2360.714577077673,0,3.807750899999519,523243736
full,CEC2017-F1,PSO,7,6903.548415193614,0,3.8036560000000463,3259134324
full,CEC2017-F1,PSO,8,1026797617.1860738,0,3.8156380000000354,3831099970
full,CEC2017-F1,PSO,9,2210844918.0985384,0,3.67464309999923,3211890260
full,CEC2017-F1,PSO,10,58.72509188516239,0,3.7226305000003777,1654817171
full,CEC2017-F1,PSO,11,2631701371.1183195,0,3.651147699998546,1336789028
full,CEC2017-F1,PSO,12,4468429842.478481,0,3.679773600000772,2947503908
full,CEC2017-F1,PSO,13,780.1998758224114,0,3.444547399998555,3153871005
full,CEC2017-F1,PSO,14,5859.6602950712695,0,3.4575175999998464,245160344
full,CEC2017-F1,PSO,15,11614.68326724172,0,3.5049878999998327,1276931176
full,CEC2017-F1,PSO,16,5500.3083651668485,0,3.48367049999797,2100004170
full,CEC2017-F1,PSO,17,1679028599.116125,0,3.3580118999998376,376582115
full,CEC2017-F1,PSO,18,2912.901974723082,0,3.387908700002299,1515212695
full,CEC2017-F1,PSO,19,1026800780.6541218,0,3.431799899997713,482460009
full,CEC2017-F1,PSO,20,14809.630674218464,0,3.430733000001055,2985061270
full,CEC2017-F1,PSO,21,472.0655868660624,0,3.331851400002052,1366512995
full,CEC2017-F1,PSO,22,3793247123.18783,0,3.361852900001395,2280704108
full,CEC2017-F1,PSO,23,5581259059.961477,0,3.3495369000011124,1415344224
full,CEC2017-F1,PSO,24,1582385085.75432,0,3.3092826000029163,874695984
full,CEC2017-F1,PSO,25,2505088546.523527,0,3.3083202999987407,2261595638
full,CEC2017-F1,PSO,26,1375900191.574913,0,3.281392400000186,333910009
full,CEC2017-F1,PSO,27,891.0661319992282,0,3.377531799997086,3133599523
full,CEC2017-F1,PSO,28,7059.285007480151,0,3.4143700000022363,1973382738
full,CEC2017-F1,PSO,29,2452.5135613808206,0,3.551748099998804,896442490
full,CEC2017-F1,PSO,30,7489.615843195909,0,3.566282699997828,2191117766
full,CEC2017-F1,PSO-AW,1,3345.788022122324,0,3.509115100001509,481158411
full,CEC2017-F1,PSO-AW,2,8757.557571670855,0,3.581743800001277,496719786
full,CEC2017-F1,PSO-AW,3,1268645473.4501953,0,3.8795367000020633,1758883018
full,CEC2017-F1,PSO-AW,4,1582386560.764722,0,3.947511700000178,1401880245
full,CEC2017-F1,PSO-AW,5,1582402287.0916784,0,3.938761699999304,4033547502
full,CEC2017-F1,PSO-AW,6,2746936332.3342752,0,3.8917739000025904,233276630
full,CEC2017-F1,PSO-AW,7,1268645473.450195,0,4.561709099998552,834149330
full,CEC2017-F1,PSO-AW,8,3054926890.696653,0,4.531207699998049,3548848553
full,CEC2017-F1,PSO-AW,9,577.2075305889432,0,4.713745500001096,584877834
full,CEC2017-F1,PSO-AW,10,74.75434275137636,0,4.651461000001291,3730429335
full,CEC2017-F1,PSO-AW,11,6328.55383000499,0,4.444911599999614,4200208704
full,CEC2017-F1,PSO-AW,12,1582382031.9700005,0,4.431292200002645,3586126864
full,CEC2017-F1,PSO-AW,13,1184049607.8480363,0,4.33433259999947,362822095
full,CEC2017-F1,PSO-AW,14,1026818387.774094,0,4.4137217000024975,2635222670
full,CEC2017-F1,PSO-AW,15,1604907319.186562,0,5.459427400001005,1738181166
full,CEC2017-F1,PSO-AW,16,1026798672.211046,0,5.425636699997995,869405924
full,CEC2017-F1,PSO-AW,17,1582382731.4230106,0,5.406666700000642,3275062420
full,CEC2017-F1,PSO-AW,18,7352156390.558496,0,5.428835299997445,457256476
full,CEC2017-F1,PSO-AW,19,2619.8766537630063,0,5.0401949000006425,354482833
full,CEC2017-F1,PSO-AW,20,2609179049.5538926,0,5.072998700001335,356696093
