source_file,Algorithm,FunctionID,Function,CurveBin,__rows,BestFitness__min,BestError__min,BestFitness__max,BestError__max
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,44,30,4630288144.279068,4630288044.279068,12927028578.402348,12927028478.402348
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,48,30,4095889445.604759,4095889345.604759,10533064274.811195,10533064174.811195
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,50,30,3925933609.870107,3925933509.870107,9050814052.88759,9050813952.88759
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,51,30,2913052794.6263666,2913052694.6263666,7280767126.008659,7280767026.008659
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,52,30,2597941747.068734,2597941647.068734,6263151201.732604,6263151101.732604
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,53,30,2330081818.26494,2330081718.26494,5843138386.761783,5843138286.761783
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,54,30,1646202124.186392,1646202024.186392,4942296830.136862,4942296730.136862
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,55,60,1166851213.70941,1166851113.70941,4099515520.884562,4099515420.884562
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,56,60,838856824.8515288,838856724.8515288,3519298191.9158635,3519298091.9158635
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,57,60,746996499.331376,746996399.331376,3039686087.209923,3039685987.209923
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,58,90,346952014.2127101,346951914.2127101,2542366854.8532715,2542366754.8532715
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,59,90,168940443.93263733,168940343.93263733,2033458156.768576,2033458056.768576
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,60,150,30973478.58240923,30973378.58240923,1240225987.8553953,1240225887.8553953
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,61,150,3776267.135439624,3776167.135439624,718620770.1227978,718620670.1227978
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,62,180,104082.49429673528,103982.49429673528,661185166.5200673,661185066.5200673
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,63,240,5992.82904937015,5892.82904937015,242539566.11440015,242539466.11440015
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,64,270,307.18594559992835,207.18594559992837,241878785.69626787,241878685.69626787
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,1,F1,65,237,176.16945893021733,76.16945893021733,7760378.592029826,7760278.592029826
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,3,F3,44,30,589.6202631696469,289.62026316964693,2999.7931068459443,2699.7931068459443
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,3,F3,48,30,508.177282149808,208.177282149808,2711.385436765033,2411.385436765033
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,3,F3,50,30,493.5378683327717,193.53786833277167,1465.3674197841383,1165.3674197841383
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,3,F3,51,30,448.90873884650057,148.90873884650057,1436.6499447772749,1136.6499447772749
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,3,F3,52,30,438.9952104157676,138.9952104157676,1367.0734213110447,1067.0734213110447
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,3,F3,53,30,438.9952104157676,138.9952104157676,1346.738774963887,1046.738774963887
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,3,F3,54,30,419.9128864228919,119.91288642289192,1283.067855304831,983.067855304831
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,3,F3,55,60,397.642046774606,97.642046774606,1181.2217816694929,881.2217816694927
