source_file,Algorithm,FunctionID,Function,__rows,MeanError__sum,MeanError__count,MeanError__min,MeanError__max,Rank__sum,Rank__count,Rank__min,Rank__max,MeanError__mean,Rank__mean
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,1,F1,1,76499.01224010966,1,76499.01224010966,76499.01224010966,5.0,1,5.0,5.0,76499.01224010966,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,3,F3,1,44.23280556369911,1,44.23280556369911,44.23280556369911,4.0,1,4.0,4.0,44.23280556369911,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,4,F4,1,172.09867823921093,1,172.09867823921093,172.09867823921093,4.0,1,4.0,4.0,172.09867823921093,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,5,F5,1,0.0001002247663905,1,0.0001002247663905,0.0001002247663905,4.0,1,4.0,4.0,0.0001002247663905,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,6,F6,1,316.0557740266764,1,316.0557740266764,316.0557740266764,4.0,1,4.0,4.0,316.0557740266764,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,7,F7,1,162.35046590527477,1,162.35046590527477,162.35046590527477,1.0,1,1.0,1.0,162.35046590527477,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,8,F8,1,3.129834016503109,1,3.129834016503109,3.129834016503109,6.0,1,6.0,6.0,3.129834016503109,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,9,F9,1,0.0,1,0.0,0.0,3.0,1,3.0,3.0,0.0,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,10,F10,1,25798.0779258218,1,25798.0779258218,25798.0779258218,4.0,1,4.0,4.0,25798.0779258218,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,11,F11,1,3959034.555785832,1,3959034.555785832,3959034.555785832,5.0,1,5.0,5.0,3959034.555785832,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,12,F12,1,314852.98666131555,1,314852.98666131555,314852.98666131555,5.0,1,5.0,5.0,314852.98666131555,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,13,F13,1,95516.8849038873,1,95516.8849038873,95516.8849038873,2.0,1,2.0,2.0,95516.8849038873,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,14,F14,1,155380.5395439379,1,155380.5395439379,155380.5395439379,2.0,1,2.0,2.0,155380.5395439379,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,15,F15,1,3348.3915360119804,1,3348.3915360119804,3348.3915360119804,1.0,1,1.0,1.0,3348.3915360119804,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,16,F16,1,1213.3545544949402,1,1213.3545544949402,1213.3545544949402,3.0,1,3.0,3.0,1213.3545544949402,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,17,F17,1,46855.02861843327,1,46855.02861843327,46855.02861843327,3.0,1,3.0,3.0,46855.02861843327,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,18,F18,1,87817.48861327466,1,87817.48861327466,87817.48861327466,4.0,1,4.0,4.0,87817.48861327466,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,19,F19,1,66.4591015127898,1,66.4591015127898,66.4591015127898,1.0,1,1.0,1.0,66.4591015127898,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,20,F20,1,308.0396547027592,1,308.0396547027592,308.0396547027592,2.0,1,2.0,2.0,308.0396547027592,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,21,F21,1,0.0,1,0.0,0.0,3.0,1,3.0,3.0,0.0,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,22,F22,1,337.45602059701844,1,337.45602059701844,337.45602059701844,5.0,1,5.0,5.0,337.45602059701844,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,23,F23,1,292.1555992142041,1,292.1555992142041,292.1555992142041,6.0,1,6.0,6.0,292.1555992142041,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,24,F24,1,437.521344664808,1,437.521344664808,437.521344664808,5.0,1,5.0,5.0,437.521344664808,5.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,25,F25,1,841.9356432743264,1,841.9356432743264,841.9356432743264,3.0,1,3.0,3.0,841.9356432743264,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,26,F26,1,529.4300279698557,1,529.4300279698557,529.4300279698557,4.0,1,4.0,4.0,529.4300279698557,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,27,F27,1,84.17584375171901,1,84.17584375171901,84.17584375171901,1.0,1,1.0,1.0,84.17584375171901,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,28,F28,1,14904.47874288048,1,14904.47874288048,14904.47874288048,1.0,1,1.0,1.0,14904.47874288048,1.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-EIS,29,F29,1,4356006.725264401,1,4356006.725264401,4356006.725264401,6.0,1,6.0,6.0,4356006.725264401,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,1,F1,1,9136.101345983638,1,9136.101345983638,9136.101345983638,3.0,1,3.0,3.0,9136.101345983638,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,3,F3,1,43.65722817390522,1,43.65722817390522,43.65722817390522,3.0,1,3.0,3.0,43.65722817390522,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,4,F4,1,156.76211527564354,1,156.76211527564354,156.76211527564354,3.0,1,3.0,3.0,156.76211527564354,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,5,F5,1,0.0001446235526051,1,0.0001446235526051,0.0001446235526051,6.0,1,6.0,6.0,0.0001446235526051,6.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,6,F6,1,236.3511402955509,1,236.3511402955509,236.3511402955509,3.0,1,3.0,3.0,236.3511402955509,3.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,7,F7,1,179.86672555033084,1,179.86672555033084,179.86672555033084,4.0,1,4.0,4.0,179.86672555033084,4.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,8,F8,1,2.1266276953854724,1,2.1266276953854724,2.1266276953854724,2.0,1,2.0,2.0,2.1266276953854724,2.0
results\cec2017_ablation6\ablation6_rank_detail.csv,ARPSO-Fixed,9,F9,1,0.0,1,0.0,0.0,3.0,1,3.0,3.0,0.0,3.0
