source_file,Algorithm,Function,__rows,Rank__sum,Rank__count,Rank__min,Rank__max,Rank__mean
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F1,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F10,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F11,1,5.0,1,5.0,5.0,5.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F12,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F13,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F14,1,7.0,1,7.0,7.0,7.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F15,1,7.0,1,7.0,7.0,7.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F16,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F17,1,6.0,1,6.0,6.0,6.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F18,1,5.0,1,5.0,5.0,5.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F19,1,7.0,1,7.0,7.0,7.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F20,1,5.0,1,5.0,5.0,5.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F21,1,2.0,1,2.0,2.0,2.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F22,1,6.0,1,6.0,6.0,6.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F23,1,3.0,1,3.0,3.0,3.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F24,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F25,1,5.0,1,5.0,5.0,5.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F26,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F27,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F28,1,3.0,1,3.0,3.0,3.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F29,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F3,1,2.0,1,2.0,2.0,2.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F30,1,6.0,1,6.0,6.0,6.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F4,1,3.0,1,3.0,3.0,3.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F5,1,3.0,1,3.0,3.0,3.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F6,1,5.0,1,5.0,5.0,5.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F7,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F8,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-EIS,CEC2017-F9,1,5.0,1,5.0,5.0,5.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F1,1,3.0,1,3.0,3.0,3.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F10,1,5.0,1,5.0,5.0,5.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F11,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F12,1,5.0,1,5.0,5.0,5.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F13,1,5.0,1,5.0,5.0,5.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F14,1,3.0,1,3.0,3.0,3.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F15,1,6.0,1,6.0,6.0,6.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F16,1,5.0,1,5.0,5.0,5.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F17,1,2.0,1,2.0,2.0,2.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F18,1,4.0,1,4.0,4.0,4.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F19,1,6.0,1,6.0,6.0,6.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F20,1,8.0,1,8.0,8.0,8.0
results\cec\cec2017_rank_detail.csv,ARPSO-v4,CEC2017-F21,1,3.0,1,3.0,3.0,3.0
