FunctionID,Function,Algorithm,MeanError,Rank,Group
1,F1,ARPSO-EIS,76499.01224010966,5.0,Unimodal
1,F1,ARPSO-Fixed,9136.101345983638,3.0,Unimodal
1,F1,ARPSO-Global,10674.637356248057,4.0,Unimodal
1,F1,ARPSO-Local,7954.159842896741,1.0,Unimodal
1,F1,ARPSO-SRR,9001.842466992279,2.0,Unimodal
1,F1,PSO-RS,8069684.897158903,6.0,Unimodal
3,F3,ARPSO-EIS,44.23280556369911,4.0,Unimodal
3,F3,ARPSO-Fixed,43.65722817390522,3.0,Unimodal
3,F3,ARPSO-Global,83.60899991728456,6.0,Unimodal
3,F3,ARPSO-Local,40.444758863265584,2.0,Unimodal
3,F3,ARPSO-SRR,38.0550045564732,1.0,Unimodal
3,F3,PSO-RS,59.73163613755878,5.0,Unimodal
4,F4,ARPSO-EIS,172.09867823921093,4.0,Simple multimodal
4,F4,ARPSO-Fixed,156.76211527564354,3.0,Simple multimodal
4,F4,ARPSO-Global,242.5005552250169,6.0,Simple multimodal
4,F4,ARPSO-Local,149.0825166521918,2.0,Simple multimodal
4,F4,ARPSO-SRR,135.91752086879256,1.0,Simple multimodal
4,F4,PSO-RS,182.8569007916164,5.0,Simple multimodal
5,F5,ARPSO-EIS,0.00010022476639051092,4.0,Simple multimodal
5,F5,ARPSO-Fixed,0.0001446235526051017,6.0,Simple multimodal
5,F5,ARPSO-Global,9.199953885854483e-05,3.0,Simple multimodal
5,F5,ARPSO-Local,7.93596213592688e-05,2.0,Simple multimodal
5,F5,ARPSO-SRR,0.00010799927282126495,5.0,Simple multimodal
5,F5,PSO-RS,3.6152997845798986e-05,1.0,Simple multimodal
6,F6,ARPSO-EIS,316.0557740266764,4.0,Simple multimodal
6,F6,ARPSO-Fixed,236.3511402955509,3.0,Simple multimodal
6,F6,ARPSO-Global,668.9924966507945,5.0,Simple multimodal
6,F6,ARPSO-Local,193.9726152232347,1.0,Simple multimodal
6,F6,ARPSO-SRR,224.163237469481,2.0,Simple multimodal
6,F6,PSO-RS,798.3618748938483,6.0,Simple multimodal
7,F7,ARPSO-EIS,162.35046590527477,1.0,Simple multimodal
7,F7,ARPSO-Fixed,179.86672555033084,4.0,Simple multimodal
7,F7,ARPSO-Global,165.97418396165725,2.0,Simple multimodal
7,F7,ARPSO-Local,181.53333333333356,5.0,Simple multimodal
7,F7,ARPSO-SRR,173.73333333333332,3.0,Simple multimodal
7,F7,PSO-RS,183.31793586028698,6.0,Simple multimodal
8,F8,ARPSO-EIS,3.129834016503109,6.0,Simple multimodal
8,F8,ARPSO-Fixed,2.1266276953854724,2.0,Simple multimodal
8,F8,ARPSO-Global,1.9013356950524023,1.0,Simple multimodal
8,F8,ARPSO-Local,2.2230415362648994,3.0,Simple multimodal
8,F8,ARPSO-SRR,2.5499466542505917,4.0,Simple multimodal
8,F8,PSO-RS,2.5684796108293275,5.0,Simple multimodal
9,F9,ARPSO-EIS,0.0,3.0,Simple multimodal
9,F9,ARPSO-Fixed,0.0,3.0,Simple multimodal
9,F9,ARPSO-Global,0.0,3.0,Simple multimodal
9,F9,ARPSO-Local,0.0,3.0,Simple multimodal
9,F9,ARPSO-SRR,9.838111380776475,6.0,Simple multimodal
9,F9,PSO-RS,0.0,3.0,Simple multimodal
10,F10,ARPSO-EIS,25798.0779258218,4.0,Simple multimodal
10,F10,ARPSO-Fixed,24856.81722312504,3.0,Simple multimodal
10,F10,ARPSO-Global,39396.24578713159,6.0,Simple multimodal
10,F10,ARPSO-Local,18801.88429840003,1.0,Simple multimodal
10,F10,ARPSO-SRR,24684.885872282142,2.0,Simple multimodal
10,F10,PSO-RS,34428.967911459564,5.0,Simple multimodal
11,F11,ARPSO-EIS,3959034.555785832,5.0,Hybrid
11,F11,ARPSO-Fixed,5586063.914336166,6.0,Hybrid
11,F11,ARPSO-Global,3947499.2458382295,4.0,Hybrid
11,F11,ARPSO-Local,1445181.7507456846,1.0,Hybrid
11,F11,ARPSO-SRR,3711989.920948873,3.0,Hybrid
11,F11,PSO-RS,3169093.3413447305,2.0,Hybrid
12,F12,ARPSO-EIS,314852.98666131555,5.0,Hybrid
12,F12,ARPSO-Fixed,221972.91611120553,2.0,Hybrid
12,F12,ARPSO-Global,286303.188463893,4.0,Hybrid
12,F12,ARPSO-Local,183307.89373556353,1.0,Hybrid
12,F12,ARPSO-SRR,233981.35208483174,3.0,Hybrid
